Active_Customers
hv_f0_lv28_f0_c2
hv_f0_lv28_f0_c18
hv_f0_lv28_f0_c23
hv_f0_lv28_f0_c28
hv_f0_lv28_f0_c31
hv_f0_lv28_f1_c5
hv_f0_lv28_f1_c8
hv_f0_lv28_f1_c13
hv_f0_lv28_f1_c15
hv_f0_lv28_f1_c17
hv_f0_lv28_f1_c18
hv_f0_lv28_f1_c20
hv_f0_lv28_f1_c37
hv_f0_lv28_f2_c5
hv_f0_lv28_f2_c6
hv_f0_lv28_f2_c15
