x1,x2,x3
12616.08896901391,12618.1612203325,12618.392132167619
12613.907025628656,12614.864599564758,12616.094393654546
12625.053227517727,12629.92624560308,12627.542218120974
12642.852231970317,12648.492224260679,12642.315166887547
12662.789532489225,12673.4510882914,12660.474155908361
12639.810082798516,12646.896691054439,12638.50294435785
12616.211090133489,12621.502930107989,12621.228351469548
12617.946528715738,12621.858068160918,12619.89058760622
12634.25124970404,12642.042036270901,12636.53494015935
12666.573365770188,12679.60083600762,12665.12216702627
12675.10667893827,12689.54365204255,12672.533579181641
12672.927847208795,12687.079664980954,12671.96925450795
12670.043792523466,12684.811077101605,12667.968004728813
12662.073399426547,12675.609181525222,12661.810687727659
12608.278223495881,12612.264616421131,12611.764671213563
12629.291300046953,12637.404679783378,12630.754649898676
12665.137669279191,12680.239805805453,12664.528894462492
12667.101207105337,12679.974621148995,12664.660130505052
12671.139799394563,12684.603956270323,12667.37519959665
12670.995894509057,12685.051156020241,12668.762176525883
12619.370240162567,12626.958824775804,12623.106677031861
12644.140770446278,12654.240673573757,12645.256988587755
12673.672845795067,12686.816140246981,12671.132025781426
12667.777370986978,12681.684619770222,12665.555248623321
12668.107588110357,12683.14409873893,12666.595294947678
12676.17846377644,12691.412884155261,12674.003683075609
12675.34489857161,12692.076342520464,12672.912867105708
12680.796646285238,12697.112704963729,12676.474571795417
12681.06143769834,12697.335327537829,12679.001463597517
12662.539946726967,12677.05511521333,12661.514881148996
12676.23296040772,12692.26112028698,12672.335711360221
12684.331504315289,12702.659951985604,12681.778612835848
12626.03607766705,12635.488963333437,12626.087540872548
12617.282261249607,12624.862110546874,12620.707291613207
12678.816655147393,12696.18372798546,12676.516109724882
12662.58560564084,12677.540187625818,12663.114968882295
12630.557246699127,12638.983694224355,12631.50745818549
12627.86369245555,12636.986876681194,12629.92875292281
12685.87763876662,12702.212483404133,12682.297923114447
12680.435063810408,12695.6144220034,12676.944792679566
12637.733297941744,12647.619106435051,12638.151879858724
12634.053117598127,12641.358476103092,12634.398467758288
12663.166474194959,12677.694824023352,12660.915115460632
12686.953507602333,12705.189065724271,12681.37815242001
12688.934241619847,12707.417007761125,12684.71638762773
12646.374602532049,12660.678255546549,12646.026871264272
12665.969863077924,12680.602869549713,12663.628319739375
12639.78028292951,12651.182877390765,12637.634765147946
12631.151331714385,12639.981580912021,12631.26832061028
12616.046032510205,12622.71424586916,12616.65384448201
12650.74626927795,12661.981170413968,12648.942016408637
12619.983022886017,12627.001050900088,12621.140818538877
12634.087935975587,12642.999351594477,12634.597081975213
12686.682753820282,12701.170597358836,12682.113217040353
12671.959141975613,12685.885575802049,12667.703248007145
12676.128731918456,12692.109590373433,12671.865045245657
12676.614652934915,12691.483164426074,12673.158375271772
12646.33025763966,12657.589668935005,12644.834801331262
12681.20133397973,12695.577652702052,12676.759992743016
12677.641165266461,12691.409718289155,12673.597478314603
12678.184075835488,12694.361579481267,12674.829515323056
12678.706604709183,12695.024911420283,12674.461814302029
12667.16326746244,12681.561420050808,12664.180856208095
12638.692772450397,12647.409256392826,12638.028057180007
12675.24076321698,12689.13600663248,12671.156288411257
12671.23371124987,12685.423075900504,12668.24395052109
12669.668056875786,12682.674631469949,12665.88726365154
12668.27441822601,12679.878226490688,12664.450772676046
12665.222824979004,12677.544095455498,12660.320888467431
12665.553145631999,12678.351748170699,12661.939976909905
12670.5849097033,12682.82675488238,12667.469218277653
12669.02040908544,12681.70274363794,12665.51717951838
12653.844859690944,12665.332085072312,12652.557318298763
12655.570358952811,12666.858179476036,12653.869872126452
12655.55782352868,12667.381848957282,12653.999173639371
12619.678966736508,12627.580678892726,12622.689490573475
12637.97824994415,12647.442923282955,12638.295010164253
12651.036529537841,12663.199660762053,12650.10098860812
12659.012497490041,12671.76345063491,12657.003944121314
12623.185012230966,12630.29333612426,12625.12754139923
12612.436026232954,12618.060979289934,12615.671257223721
12651.488003661796,12660.517652853716,12650.352618296212
12644.934205817213,12655.157900083435,12644.026605965699
12621.05567452721,12625.712120714908,12622.874932654886
12657.272819069629,12670.693829629889,12657.076963583339
12644.363137268607,12654.84457035056,12643.628322803022
12646.829498080964,12658.17227982508,12645.054650262073
12643.982083872706,12654.914850756688,12643.08678386018
12640.9408255002,12650.36044047105,12641.431678967703
12637.04931217717,12647.824776740672,12637.549676174513
12639.617375957274,12650.192708746989,12639.839656853246
12634.152470400679,12644.792455732164,12636.625010514586
12634.169311392041,12642.080130547443,12633.755838351783
12632.313810688021,12640.7170936412,12634.54195851064
12632.339819058325,12641.339895877249,12634.297624437115
12627.88917270333,12634.270351833864,12628.490018348082
12625.824335187044,12634.449487200547,12629.782832893792
12621.388265316622,12625.43699680566,12622.426677617525
12620.309917789535,12627.188723258037,12623.129651020967
12620.21080089247,12625.866451085658,12623.26628897567
12619.462582304583,12626.01086421654,12623.581569614706
12619.955019252284,12628.881886263067,12624.747854570775
12607.796222166926,12614.402300771102,12612.872504723491
12614.245728144175,12619.051525427467,12618.860445097978
12606.068610834656,12611.310290605801,12609.539115498208
12611.3026802167,12617.334451031482,12616.586627225553
12608.21348739831,12611.818211050611,12613.461419655403
12609.236904051126,12614.638670167222,12613.517489415364
12595.438068107469,12601.208775962836,12602.966613505474
12595.9832848964,12601.113790619112,12600.655243106832
12596.43190682719,12602.654501341325,12603.560188698113
12595.71220394737,12596.732695757213,12599.876333062888
12591.869413307852,12595.60545813176,12598.651436017457
12588.61598189888,12588.672397573057,12591.083531354892
12586.914375263965,12591.577152354774,12594.55077908106
12586.601235006687,12591.184000794543,12592.502619749619
12584.730982825124,12589.63904215518,12591.619538966439
12585.597649138688,12589.837150727803,12592.882598838669
12583.533639004549,12586.757278218518,12590.400423919265
12575.64039999129,12581.059853700935,12583.363850498945
12590.672097265158,12596.06891975587,12597.716666445962
12582.846100466395,12589.330295826056,12590.779620489508
12586.631481676975,12593.826508893218,12596.092342069722
12582.837744516313,12587.82163424227,12591.43823225049
12578.885234327317,12584.463276174743,12586.852803116832
12581.62993103364,12588.360195527337,12590.29242917436
12586.423801587016,12590.358236904094,12590.669865996042
12579.986208433023,12587.187337436424,12587.221136006661
12581.5990639992,12587.66011170408,12587.42805379966
12582.579578863717,12587.235477600605,12589.21742679222
12580.399655782974,12584.99869849307,12586.693450331853
12581.441740374952,12585.348664572295,12586.494708482885
12583.205172215454,12587.647372216024,12589.685286747774
12579.487881826597,12586.505773467501,12588.67532199591
12584.536616671172,12586.58644300974,12590.535226978685
12578.796804863034,12584.62968725845,12586.179219873411
12576.761867672343,12581.487890636861,12585.056730696147
12585.764437765818,12590.59257740758,12591.926786740432
12587.542105085042,12589.894762779199,12592.797806581444
12593.123720026802,12597.390079685192,12598.512921184181
12589.72283581703,12592.869767375858,12596.351588717072
12592.740132927207,12593.684137273553,12597.646583285905
12590.874941855503,12594.325478953104,12596.57621813258
12591.990034005683,12593.084134306851,12596.768057192661
12586.91188623073,12591.636803289739,12593.64880566297
12586.984306810624,12594.2933485679,12595.092676510318
12589.070571864326,12592.851567907765,12594.74640001395
12585.876386570993,12589.626119346893,12592.796118940829
12587.98171904413,12592.269601543638,12593.457824683126
12589.575500970002,12594.31334803071,12595.14033482676
12589.06215052061,12591.903851933368,12596.466959686044
12587.146568401875,12591.920000742926,12593.388749353871
12588.420169143195,12594.629097649726,12596.28258202866
12584.451400593007,12586.884342106574,12590.91857388083
12593.800474838543,12595.912160893871,12599.999185186323
